region,year,period,sensor,ndvi,evi,n_pixels,n_parts
Орловская область,2019,27,viirs,0.5317093099677522,0.3307900397666931,42551,1
Орловская область,2019,28,viirs,0.55398703652932,0.3550471006281061,95998,1
Орловская область,2019,29,viirs,0.5591688020025226,0.3300604251176513,103057,1
Орловская область,2019,30,viirs,0.5613453732052143,0.3269656998025849,103058,1
Орловская область,2019,31,viirs,0.5098360104669993,0.28657153996322027,100879,1
Орловская область,2019,32,viirs,0.47784387754831914,0.26431429593439876,77564,1
Орловская область,2019,33,viirs,0.4790054836309559,0.23201487774557147,69698,1
Орловская область,2019,34,viirs,0.4668821600857087,0.22358546142736005,102476,1
Орловская область,2019,35,viirs,0.4410159426607561,0.20368949439622316,101080,1
Орловская область,2020,13,viirs,0.39655029442425954,0.1816066047258067,70679,1
Орловская область,2020,14,viirs,0.4370213882197583,0.2150550046506954,16977,1
Орловская область,2020,15,viirs,0.43926336165771496,0.2195840951950088,25601,1
Орловская область,2020,16,viirs,0.6164105209791997,0.3702279604976403,49063,1
Орловская область,2020,17,viirs,0.6424417733592569,0.39179864152678173,42668,1
Орловская область,2020,18,viirs,0.6351499351592488,0.4079107609710552,1714,1
Орловская область,2020,19,viirs,0.7340675444079985,0.5317493236381284,11942,1
Орловская область,2020,20,viirs,0.8149800976307734,0.5972315731436522,102935,1
Орловская область,2020,21,viirs,0.8201849494882055,0.6061244257203234,102993,1
Орловская область,2020,22,viirs,0.8087850699527314,0.6019905521416936,102794,1
Орловская область,2020,23,viirs,0.8144996052121946,0.6083059291220941,102406,1
Орловская область,2020,24,viirs,0.7569011907098975,0.5507066699680765,102956,1
Орловская область,2020,25,viirs,0.7135095804730511,0.516623669321394,102929,1
Орловская область,2020,26,viirs,0.6052592765800768,0.4317654952010138,88252,1
Орловская область,2020,27,viirs,0.6083121266305545,0.4348865128892015,99775,1
Орловская область,2020,28,viirs,0.5778719531447333,0.411798141164607,97035,1
Орловская область,2020,29,viirs,0.5272615519217648,0.34448318344848466,55797,1
Орловская область,2020,30,viirs,0.5710336959286396,0.3495669113844991,102709,1
Орловская область,2020,31,viirs,0.5643389254617249,0.3410865558526228,102680,1
Орловская область,2020,32,viirs,0.49646651459355995,0.2807455440179447,87362,1
Орловская область,2020,33,viirs,0.49679841293879934,0.28063249279405306,90059,1
Орловская область,2020,34,viirs,0.46407268724498163,0.2562777866785032,99202,1
