region,year,month,t2m_c,swvl1_m3m3,ssrd_mj_m2,tp_mm,pev_mm
Псковская область,2000,5,11.510931668897058,0.28565577747450804,623.5586160193003,42.67277344651251,263.8777794071504
Псковская область,2000,6,15.172574261158047,0.3044833929892472,611.5114866586249,85.87168909348682,247.4222298985655
Псковская область,2000,7,16.79309403036416,0.38973334557472294,447.37103038841974,193.47056422373603,146.79023119271594
Псковская область,2000,8,15.849560900275208,0.3736050816295518,423.805140238842,97.50223889850322,147.239504069701
Псковская область,2000,9,10.023289484224222,0.35089889912898636,314.63530129071165,28.704117906484324,107.74211767067811
Псковская область,2001,4,8.378859910401275,0.3862951115330971,380.2677087575392,65.85933497811436,125.75695801198268
Псковская область,2001,5,11.17660626272243,0.33567324133344956,602.0978325114596,52.58430573478143,242.90556474100123
Псковская область,2001,6,15.044353607509095,0.35705713656325394,551.8712000482509,112.35971419439528,181.83351659515944
Псковская область,2001,7,21.667724138174776,0.33052944648107657,608.78478866345,82.06523839941538,226.5838202363188
Псковская область,2001,8,16.934199360110085,0.3328150437450524,453.56318675271416,85.08704165479818,185.25949122319028
Псковская область,2001,9,12.3692729733678,0.35193531878463324,278.73925320868517,67.82392727714414,146.2841995141331
Псковская область,2002,4,6.620611771053234,0.33446418937066497,480.6120151266586,33.19617346647017,168.08014825903174
Псковская область,2002,5,13.476754153335662,0.29802316405661,679.2802329867311,33.34008763961053,272.49961112714647
Псковская область,2002,6,16.672751844748973,0.28397177039354643,598.8635609167673,93.7277185101516,237.24599495368355
Псковская область,2002,7,20.59334518009274,0.2865264119515229,614.7147170373944,54.920589989186034,258.2325844051467
Псковская область,2002,8,19.457357968467306,0.1803684763799099,543.7347917008443,8.124407787781447,259.7511831145235
Псковская область,2002,9,12.001315649973662,0.23598654163760932,291.7788389022919,47.689556850252984,140.82977730237099
Псковская область,2003,4,3.3981094341945663,0.39115938892985713,414.57095891435466,52.13896590324323,124.04902947143134
Псковская область,2003,5,12.921870700297802,0.36992287261926077,521.8165467647767,130.10037825381062,192.06426788764065
Псковская область,2003,6,13.450898107659839,0.3528582638509311,566.2433198069963,94.81104298644172,197.15982121926598
Псковская область,2003,7,19.813314999717306,0.3581385963357113,526.315475650181,93.67905475145298,169.98562205973812
Псковская область,2003,8,15.77359576438107,0.36928205869741404,396.0289727117008,149.63236314652372,146.32497945366782
Псковская область,2003,9,11.837902817306258,0.3479273742013156,301.6784850180941,22.938617599079898,130.9661600464647
Псковская область,2004,4,5.5462841296225065,0.34865617004320903,502.08037056694815,14.427362842765042,178.72668353366623
Псковская область,2004,5,10.826213811821503,0.3022567509742065,600.5009990277442,51.1356417854475,249.21409983471017
Псковская область,2004,6,14.610254789750456,0.31958017015629714,560.3735245838359,112.49138120409052,206.92272958838896
Псковская область,2004,7,17.710423420536813,0.33766045472590284,576.9950059638119,85.37251413075211,196.20673967788247
Псковская область,2004,8,18.06261202785737,0.3204583327934164,465.55374825090473,76.45567843889361,186.36249631319748
Псковская область,2004,9,12.558671321339716,0.3654698278705519,263.35500973462,86.01035416661003,134.15806305530705
Псковская область,2005,4,5.819927558852953,0.37928017316019863,421.456896694813,36.66828334246132,139.30384559496179
Псковская область,2005,5,11.719724029798726,0.37289217038954126,465.2932172207479,107.19870714767329,175.62933819788645
Псковская область,2005,6,14.83440621701601,0.36303615224950997,559.1383257901085,111.15680608799539,199.00162685190668
Псковская область,2005,7,18.991805945604654,0.3034699995641398,636.2765220289506,65.29263761405697,227.76094097891246
Псковская область,2005,8,16.948054708704035,0.3355447288301512,427.36865044390834,73.25005101150101,195.53675082825637
Псковская область,2005,9,13.60202203803533,0.3071796707134914,279.435811013269,36.55747056346661,137.7697865084371
Псковская область,2006,4,4.88551377318305,0.38678519659652066,416.0112872135103,47.54562918599515,128.28798957879064
Псковская область,2006,5,11.668226849932182,0.3103282638568211,592.6298034620024,76.05122524679867,231.37085656528737
Псковская область,2006,6,16.62647085155311,0.32087044894191985,586.6192383112184,54.929652981531994,221.8312828546554
Псковская область,2006,7,19.475511546761936,0.23084182647226514,634.1143272231606,36.38980103184388,285.7382900302891
Псковская область,2006,8,17.321224390266934,0.3192959038857528,387.0558712641737,139.57745372064957,158.86439870148718
Псковская область,2006,9,13.877486877073295,0.35895241068988426,294.65759721351026,82.4998441658941,113.14552749166731
Псковская область,2007,4,5.2541237825363964,0.3483266243744817,426.9569413751508,50.02995497132545,163.30997460713863
Псковская область,2007,5,13.1362944930828,0.3562063072213793,584.3784418455971,80.14518869883494,202.82244855769437
Псковская область,2007,6,17.123005173778665,0.2870108646995627,656.6896184800966,49.29675118474176,279.5661093422242
Псковская область,2007,7,17.367777796102246,0.31497639654916504,514.9451194475271,89.29552014274535,218.22579659800192
Псковская область,2007,8,19.07937262043879,0.28314006515521334,511.6136908733413,50.894007841838516,231.45333637985593
Псковская область,2007,9,11.889286909114901,0.3255769846954162,284.95788720144753,49.14460499406948,121.06926309616631
Псковская область,2008,4,7.810838032574111,0.372701978510913,429.14813819059106,66.3877090434145,149.00041270025966
Псковская область,2008,5,10.849901931449836,0.3191831471405213,543.7957672424609,49.371867733434584,206.7008977362704
Псковская область,2008,6,15.347497043218482,0.27078512120448206,618.2318622195417,53.05833072290364,273.3381343297705
Псковская область,2008,7,17.48847838840095,0.3302818638855643,556.7658422098914,98.2450130187757,201.64078145104813
Псковская область,2008,8,17.09262601072453,0.35457488682359206,404.424899331725,158.48961033980817,185.10075797864982
Псковская область,2008,9,10.956799007181132,0.36050113176407944,229.59103899879372,51.070825563040444,112.32829307833973
Псковская область,2009,4,5.545971260024828,0.37277486729823206,464.9034903256936,22.85834371513351,170.40427158551856
Псковская область,2009,5,11.89318049560842,0.3129961959415523,552.6726006393245,49.229505736663356,214.6585593842626
Псковская область,2009,6,15.175097243949836,0.3640063461837492,530.9811062243668,150.32784813347715,196.22287988231324
Псковская область,2009,7,17.766070107527923,0.3555330982829463,581.0411578238842,103.01441822169558,199.06748896880376
Псковская область,2009,8,15.830760305149283,0.3387281098037922,452.49230779493365,70.22196317242685,174.9936788824844
Псковская область,2009,9,13.348919184446629,0.36620823177986467,265.5430806513872,90.18822540826781,119.9929223848626
Псковская область,2010,4,6.5017836107132325,0.3751115419321095,429.2197375874548,45.83650039575221,133.04219656456507
Псковская область,2010,5,14.083533024068913,0.35813303764536525,544.8631559517491,71.41440041575005,193.8612209262261
Псковская область,2010,6,16.758408980605395,0.3574733941201278,538.8071140168878,104.89365819839377,204.93428978902728
Псковская область,2010,7,23.424160144470022,0.27215741828209816,673.1056165645355,44.52923049507674,277.5836561427904
Псковская область,2010,8,20.350210862107986,0.26525339602848874,473.9032744149578,89.6308233113836,230.97574721630863
Псковская область,2010,9,11.410422595936382,0.35400004093552095,239.49654,74.21899203264994,105.96331456098684
Псковская область,2011,4,5.689956801245387,0.39625928485350387,457.10721112183353,25.75804880624738,129.17293938926102
Псковская область,2011,5,12.065019272089899,0.3405315551021562,542.3930632376357,63.30301650053854,201.38334992495606
Псковская область,2011,6,18.00088980275558,0.2987560092755768,606.6347968154403,56.229031089225955,241.0470421085599
Псковская область,2011,7,21.178764065327243,0.3209108874938744,590.7331491218335,94.70473908127227,226.25020855478266
Псковская область,2011,8,17.456789877676442,0.3442697375473556,438.93331651628466,111.85540348477886,180.98622718679889
Псковская область,2011,9,12.908398790900208,0.35952515826438103,263.1486575392039,70.06467369455841,118.66458910725227
Псковская область,2012,4,5.5594430589848685,0.39342245693229794,416.04874718938476,62.39439926303439,123.6500520937693
Псковская область,2012,5,13.096963408945271,0.3335992240215527,592.3969858335344,51.19321748297785,225.78089801983322
Псковская область,2012,6,15.0574411942099,0.3529860769163714,539.5320604342581,103.86467418679462,192.85264138505312
Псковская область,2012,7,19.314594308372307,0.323379148476374,618.2013072303981,70.52807819993608,240.72594453543604
Псковская область,2012,8,16.282302955839157,0.328238474589349,411.20568653799756,78.20362883223395,175.7451509573779
Псковская область,2012,9,12.680567878750765,0.3557533291769545,239.57984522316045,79.25786191442548,119.28393484168518
Псковская область,2013,4,3.8858932734398763,0.379312310489153,421.3670740892642,59.94384974382809,121.37586387959549
Псковская область,2013,5,15.510777350818046,0.3525215765535472,576.1697272545235,89.6938150313001,199.2879452765779
Псковская область,2013,6,18.84308925946175,0.31997439542064043,630.8410768154403,68.05770678009806,224.257544473946
Псковская область,2013,7,18.449595533492925,0.3204726712695077,591.3690249360676,80.32297588906175,213.187445912272
