year,harvest_true,harvest_pred,harvest_base,ошибка_%,horizon_k
2018,112476.3319,119201.56460999271,120466.67612661392,5.979242562757059,17
2019,119576.7158,117707.95356234224,118243.97387663076,-1.5628144870472926,17
2020,132498.4,132753.1938200444,130996.1592239745,0.19229954478272582,17
2021,117548.73689100001,127951.61822667987,129309.30816666248,8.849845273391743,17
2022,127484.86680398165,109407.28055993756,109944.29632377133,-14.180182085329275,17
2023,142063.74136352964,141892.76754950703,141159.33027274712,-0.12035007130011266,17
2024,123789.40193066876,144755.6543382762,145481.36416296518,16.93703344600541,17
2018,112476.3319,117541.30600609966,120780.7495835468,4.5031465914116,18
2019,119576.7158,117724.77562490974,118122.09973323483,-1.548746478526597,18
2020,132498.4,132510.84421159344,130364.43799092753,0.009391971218852824,18
2021,117548.73689100001,127932.15687086823,128704.94688428927,8.833289284508862,18
2022,127484.86680398165,109728.97909974774,110186.89457585155,-13.927839554113541,18
2023,142063.74136352964,141114.32993962176,141017.0138835826,-0.6682996060749957,18
2024,123789.40193066876,144573.41605665963,145380.04865935596,16.789817061747712,18
2018,112476.3319,117899.92923137762,120804.96324853208,4.82198987089979,19
2019,119576.7158,117810.56097123401,117941.5999635027,-1.4770056335382309,19
2020,132498.4,131776.87354502393,129914.15762677595,-0.5445548436630587,19
2021,117548.73689100001,130742.70247376838,128397.55250504032,11.224251260992112,19
2022,127484.86680398165,109745.05552698666,109819.45794361075,-13.915229094815928,19
2023,142063.74136352964,140177.069755524,141081.33336601174,-1.3280458404779094,19
2024,123789.40193066876,145567.0094225356,145282.57463447185,17.592465229021713,19
2018,112476.3319,117951.22677281863,120941.23751592984,4.867597280542735,20
2019,119576.7158,118654.83076551993,118054.09075686484,-0.7709569779638215,20
2020,132498.4,131567.83069830568,129694.54390041738,-0.7023249350137872,20
2021,117548.73689100001,126255.5780084578,128394.43616451413,7.407005253941112,20
2022,127484.86680398165,110111.21226435369,109000.35197483233,-13.628013249871751,20
2023,142063.74136352964,138929.743259621,141239.5719591171,-2.2060506599562157,20
2024,123789.40193066876,144854.57072733136,145427.5914564395,17.01694043926367,20
2018,112476.3319,118117.20530417748,121390.82288735098,5.015164798575267,21
2019,119576.7158,119913.15927746729,118397.79062654357,0.2813620320782251,21
